custid,region,townsize,gender,age,agecat,birthmonth,ed,edcat,jobcat,union,employ,empcat,retire,income,lninc,inccat,debtinc,creddebt,lncreddebt,othdebt,lnothdebt,default,jobsat,marital,spoused,spousedcat,reside,pets,pets_cats,pets_dogs,pets_birds,pets_reptiles,pets_small,pets_saltfish,pets_freshfish,homeown,hometype,address,addresscat,cars,carown,cartype,carvalue,carcatvalue,carbought,carbuy,commute,commutecat,commutetime,commutecar,commutemotorcycle,commutecarpool,commutebus,commuterail,commutepublic,commutebike,commutewalk,commutenonmotor,telecommute,reason,polview,polparty,polcontrib,vote,card,cardtype,cardbenefit,cardfee,cardtenure,cardtenurecat,card2,card2type,card2benefit,card2fee,card2tenure,card2tenurecat,carditems,cardspent,card2items,card2spent,active,bfast,tenure,churn,longmon,lnlongmon,longten,lnlongten,tollfree,tollmon,lntollmon,tollten,lntollten,equip,equipmon,lnequipmon,equipten,lnequipten,callcard,cardmon,lncardmon,cardten,lncardten,wireless,wiremon,lnwiremon,wireten,lnwireten,multline,voice,pager,internet,callid,callwait,forward,confer,ebill,owntv,hourstv,ownvcr,owndvd,owncd,ownpda,ownpc,ownipod,owngame,ownfax,news,response_01,response_02,response_03
2442-GRDDMK-0WR,1,1,0,42,4,October,10,1,1,0,4,2,0,57,4.04305126783455,3,21.7,8.398551,2.12805919096943,3.970449,1.37887918654075,1,2,1,12,2,2,1,1,0,0,0,0,0,0,1,3,13,3,1,1,0,31.6,2,0,1,2,1,16,1,1,0,0,0,0,0,0,0,0,9,6,1,0,1,1,2,2,0,3,2,4,1,1,0,4,2,14,407.09,4,79.98,0,2,23,0,7,1.94591014905531,161.85,5.08666998037225,1,14,2.63905732961526,337.25,5.82082449508786,0,0, ,0, ,0,0, ,0, ,0,0, ,0, ,0,0,0,0,0,0,1,1,0,1,21,1,1,1,0,0,0,0,0,0,0,0,0
3912-MKLRVC-NNW,1,1,1,21,2,September,14,2,6,0,1,1,0,20,2.99573227355399,1,17.5,.4515,-.795179906125097,3.0485,1.11464966636573,1,3,1,15,3,5,6,0,0,0,0,0,0,6,0,1,1,1,1,1,0,10.1,1,0,0,5,3,25,0,0,0,0,1,0,0,0,0,0,9,4,0,0,1,2,3,1,0,2,2,3,4,1,0,3,2,4,48.38,4,58.66,0,1,9,1,3.8,1.33500106673234,39.85,3.68512240523622,1,28.25,3.34109345759245,284.1,5.64932628886014,0,0, ,0, ,0,0, ,0, ,0,0, ,0, ,0,1,1,0,1,1,1,1,0,1,20,0,1,1,0,0,1,0,0,0,0,0,1
2619-CCKAFO-AJU,3,1,1,65,6,March,12,2,3,0,20,5,1,11,2.39789527279837,1,2.9,.173536,-1.75137020832349,.145464,-1.92782664566504,0,5,1,13,2,2,9,1,0,0,0,0,0,8,0,2,30,5,4,1,0,4.4,1,0,0,1,1,21,1,0,0,0,1,0,0,0,0,0,9,4,0,0,0,3,2,2,0,30,5,2,1,2,1,20,5,7,153.76,2,54.27,0,2,66,0,17,2.83321334405622,1155.2,7.05202876813856,0,0, ,0, ,0,0, ,0, ,1,13,2.56494935746154,815,6.70318811324086,1,36.85,3.60685561863535,2331.45,7.75424567059702,1,1,1,1,1,1,1,1,1,1,20,1,1,1,0,1,1,0,1,1,0,0,0
4523-CZLDHQ-F6P,5,5,0,76,6,January,14,2,2,0,17,5,1,22,3.09104245335832,1,5.9,.796972,-.226935732553096,.501028,-.691093291235408,0,4,1,13,2,2,7,0,0,0,1,0,0,6,1,4,39,5,1,0,0,8.7,1,0,1,8,4,30,1,0,1,1,1,1,1,1,0,0,3,6,0,0,1,2,1,3,0,33,5,5,3,3,0,23,5,7,190.71,3,94.15,0,2,63,0,17.15,2.84199817361195,1091.55,6.99535398346121,0,0, ,0, ,0,0, ,0, ,1,17.25,2.84781214347737,1040,6.94697599213542,0,0, ,0, ,1,1,0,2,1,1,1,1,1,1,19,1,1,1,1,1,0,1,0,0,0,1,0
6663-JLIULF-CGK,4,5,1,40,4,November,12,2,2,0,3,2,0,30,3.40119738166216,2,11.3,1.36617,.312011204356905,2.02383,.704991755802824,0,1,1,11,1,2,4,1,0,1,0,2,0,0,1,1,14,3,5,1,0,16.2,1,0,1,1,1,46,1,0,0,0,0,0,1,1,0,0,9,4,0,0,1,3,1,3,0,20,5,4,4,3,0,18,5,10,382.44,6,203.45,0,2,37,1,7.7,2.04122032885964,323.35,5.7787353278926,1,20.25,3.00815479355255,710.4,6.56582819167796,0,0, ,0, ,1,3.25,1.17865499634165,115,4.74493212836325,0,0, ,0, ,0,0,0,0,1,1,1,1,0,1,21,1,1,1,0,1,1,0,0,0,0,0,1
5950-FEHITD-TVN,3,1,1,24,2,May,12,2,1,0,2,2,0,19,2.94443897916644,1,21.8,.791122,-.234303087962115,3.350878,1.20922240104975,0,3,1,12,2,3,0,0,0,0,0,0,0,0,0,2,4,2,2,1,1,9.1,1,0,1,1,1,27,1,0,0,0,0,0,0,0,0,0,9,5,0,0,0,2,2,3,0,4,2,5,3,2,0,6,3,11,290.14,6,88.72,0,3,27,0,9.9,2.29253475714054,297.7,5.69608626802173,0,0, ,0, ,0,0, ,0, ,1,8.75,2.16905370036952,220,5.39362754635236,0,0, ,0, ,0,0,0,0,1,1,1,1,0,1,16,1,1,1,0,0,0,0,0,0,0,0,0
3022-QGLIBG-Y5M,3,2,1,78,6,July,9,1,2,0,13,4,0,25,3.2188758248682,2,11.6,.6554,-.422509542717423,2.2446,.808527331600018,0,3,0,-1,-1,1,0,0,0,0,0,0,0,0,0,2,44,5,2,0,0,10.7,1,0,1,1,1,16,1,0,1,0,1,0,0,1,0,0,2,5,0,0,0,3,3,4,0,29,5,4,2,2,0,26,5,11,404.85,4,178.2,1,1,52,0,6.85,1.92424865227413,351.7,5.86277853947994,0,0, ,0, ,0,0, ,0, ,1,78.5,4.36309862478836,4010,8.29654652030061,0,0, ,0, ,0,0,0,0,0,0,0,0,0,1,14,1,1,1,0,0,0,1,0,1,1,0,0
0115-BGCJZG-B08,3,2,1,35,4,May,17,4,4,0,8,3,0,59,4.07753744390572,3,5.9,1.260122,.231208541672936,2.220878,.797902613191955,0,2,0,-1,-1,2,0,0,0,0,0,0,0,0,0,2,5,2,1,1,0,24.8,2,1,0,8,4,23,0,0,0,0,0,0,0,1,0,0,9,4,1,0,0,2,4,1,1,13,4,4,3,3,0,8,3,12,204.69,4,92.25,1,3,27,0,6.5,1.87180217690159,194.45,5.27017506060176,0,0, ,0, ,1,23.3,3.14845336057165,644.95,6.46917279441115,1,14,2.63905732961526,345,5.84354441703136,0,0, ,0, ,1,0,0,1,0,0,0,0,0,1,16,1,1,1,0,1,1,1,0,1,0,0,0
6514-SXICCV-327,4,5,0,45,4,December,10,1,3,1,11,4,0,51,3.93182563272433,3,14.2,1.607724,.474819514233592,5.634276,1.7288686565397,0,3,1,12,2,2,10,3,0,0,0,0,0,7,1,1,21,4,4,1,0,31.1,2,1,1,1,1,34,1,0,0,1,0,0,0,1,0,0,9,2,1,1,0,3,2,2,0,20,5,4,1,3,0,18,5,11,270.87,5,54.5,1,3,51,0,8.95,2.19165353228676,437.5,6.08107670579767,1,16,2.77258872223978,806.2,6.69233185068307,0,0, ,0, ,1,15.75,2.75684036527164,790,6.67203294546107,0,0, ,0, ,0,0,0,0,0,1,1,1,0,1,25,1,1,1,0,0,0,0,0,1,0,1,0
8840-BUPLQG-AC2,4,3,0,68,6,June,12,2,6,1,23,5,1,16,2.77258872223978,1,25.7,.14392,-1.93849768933986,3.96808,1.37828235050971,0,5,0,-1,-1,1,0,0,0,0,0,0,0,0,0,1,36,5,3,1,1,7.2,1,0,0,1,1,25,1,0,1,0,1,0,1,0,0,0,9,2,1,0,1,3,2,2,0,37,5,2,3,2,0,28,5,9,267.32,8,206.09,0,3,71,0,28.95,3.365570204019,2075.55,7.6379814577835,1,31.75,3.4578927253387,2188.6,7.69101734898434,0,0, ,0, ,1,27.5,3.31418600467253,1935,7.56786260546388,0,0, ,0, ,1,1,0,3,1,1,1,0,0,1,15,1,1,1,0,1,0,1,0,1,0,0,0
3416-EFSFKO-9V8,4,1,1,68,6,August,14,2,1,0,5,2,0,74,4.30406509320417,3,7.3,.172864,-1.75525012081199,5.229136,1.65424606366486,0,2,0,-1,-1,1,1,0,0,0,1,0,0,0,1,1,30,5,2,1,1,40.1,3,1,0,1,1,17,1,0,0,0,0,0,0,0,0,0,9,6,0,0,1,3,4,3,1,9,3,2,2,1,0,11,4,11,273.3,6,209.27,0,1,28,0,8.3,2.11625551480255,260.5,5.56260286119342,1,26.25,3.26766598903763,807.65,6.69412879635977,0,0, ,0, ,1,10.5,2.35137525716348,270,5.59842195899838,0,0, ,0, ,0,0,0,0,0,1,0,0,0,1,25,1,1,1,1,1,0,0,0,0,0,0,0
8399-DFHIXN-C78,5,3,0,31,3,December,15,3,2,0,1,1,0,56,4.02535169073515,3,4.4,.532224,-.630690825626699,1.931776,.658439787039544,0,1,0,-1,-1,1,3,3,0,0,0,0,0,0,1,1,11,3,1,0,1,36.4,2,0,0,5,3,25,0,0,0,0,1,0,0,0,0,0,2,5,1,0,1,1,1,2,1,2,2,4,2,3,0,5,2,11,628.72,5,330.55,1,3,10,1,3.45,1.23837423104327,47.55,3.8617817889914,1,16.25,2.78809290877575,171.1,5.14224818089815,0,0, ,0, ,1,23,3.13549421592915,190,5.24702407216049,1,21.15,3.05163990549229,192.9,5.26217191991168,0,1,1,2,1,0,0,0,0,1,19,1,1,1,0,1,0,1,0,0,0,0,0
7273-DIUGIG-ZUR,3,5,1,43,4,December,13,2,2,0,5,2,0,32,3.46573590279973,2,21.2,1.343232,.295078650202,5.440768,1.69392022737398,1,5,0,-1,-1,1,0,0,0,0,0,0,0,0,1,1,6,2,2,1,0,12.9,1,1,1,1,1,34,1,0,0,0,0,0,0,0,0,0,9,4,0,0,0,5,1,2,0,19,5,3,2,4,0,19,5,9,156.41,1,17.26,1,3,46,0,5.1,1.62924053973028,250.8,5.52465580875877,0,0, ,0, ,1,37.45,3.62300670996323,1572.2,7.36023119135966,1,23.25,3.14630513203337,1065,6.97073007814353,1,27.2,3.30321697330195,1208.95,7.09750749326662,1,1,0,0,0,1,0,0,1,1,18,1,1,1,0,1,0,1,0,1,0,0,0
9979-YOPGLE-VN1,3,3,0,78,6,September,11,1,2,0,14,4,1,17,2.83321334405622,1,4.5,.319005,-1.14254850233894,.445995,-.807447537787246,0,3,1,8,1,2,0,0,0,0,0,0,0,0,0,2,36,5,3,1,0,6,1,0,0,1,1,33,1,0,0,0,1,0,0,0,0,0,9,3,0,0,0,1,4,2,1,27,5,5,3,1,0,19,5,18,544.61,5,183.1,0,3,50,0,9.4,2.24070968927596,524.9,6.26320776825825,0,0, ,0, ,0,0, ,0, ,1,12.25,2.50552593699074,675,6.51471269087253,0,0, ,0, ,0,0,0,0,0,0,0,0,0,1,13,1,1,1,0,0,0,1,0,0,0,0,0
5379-EZKLUJ-ACJ,5,5,1,42,4,November,13,2,2,0,6,3,0,39,3.66356164612965,2,8.3,1.476072,.389384505476356,1.760928,.565840942817913,1,3,1,14,2,2,1,0,1,0,0,0,0,0,1,1,19,4,3,1,0,18.3,1,0,0,4,3,37,1,0,0,1,0,0,0,0,0,0,9,1,0,0,1,5,3,3,0,16,5,2,1,1,0,13,4,13,223.04,5,90.66,1,3,36,0,11,2.39789527279837,438.4,6.08313173563381,0,0, ,0, ,0,0, ,0, ,0,0, ,0, ,0,0, ,0, ,1,0,0,0,0,0,0,0,0,1,22,1,1,1,0,0,0,0,0,0,0,0,0
4860-RNWLDP-MC8,2,2,1,70,6,August,14,2,2,0,8,3,0,38,3.63758615972639,2,17.4,3.067968,1.1210154532029,3.544032,1.26526506204744,0,2,0,-1,-1,1,0,0,0,0,0,0,0,0,0,1,16,4,0,-1,-1,-1,-1,-1,1,10,5,19,0,0,0,1,0,0,0,1,0,1,9,6,1,0,1,2,2,2,0,4,2,3,3,3,0,3,2,9,338.36,8,339.75,1,2,5,0,7.55,2.02154756326093,53.55,3.98061579689376,1,17,2.83321334405622,94.45,4.54807059394752,0,0, ,0, ,0,0, ,0, ,0,0, ,0, ,0,0,0,0,0,0,0,0,0,1,26,1,1,0,0,0,0,0,0,0,0,0,1
4201-NGKFVP-LEL,3,3,0,47,4,August,17,4,2,0,1,1,0,34,3.52636052461616,2,8.5,.99994,-6.00018000719522E-005,1.89006,.636608574599402,0,2,1,17,4,2,0,0,0,0,0,0,0,0,1,4,26,5,0,-1,-1,-1,-1,-1,1,8,4,23,1,0,0,1,0,0,0,1,0,1,9,6,1,0,0,3,2,3,0,23,5,1,3,2,0,17,5,13,558.84,4,129.74,1,3,53,0,7.15,1.96711235670592,331.35,5.80317521853424,1,29.75,3.39282913199164,1633.15,7.39826594423272,1,37.9,3.63495111208838,1981.85,7.5917860308958,0,0, ,0, ,0,0, ,0, ,1,1,0,1,0,1,1,1,1,1,18,1,1,1,1,1,1,0,0,0,0,0,0
8598-USALTF-08H,4,4,0,55,5,August,20,5,1,0,12,4,0,25,3.2188758248682,2,7.3,.479975,-.734021259769918,1.345025,.296412600241654,0,5,1,17,4,2,7,0,0,0,0,0,0,7,1,3,20,4,1,0,1,11.9,1,0,0,4,3,24,0,0,1,1,0,0,0,1,0,0,9,1,1,1,1,2,3,4,0,26,5,1,4,2,0,16,5,17,425.03,9,285.64,0,3,48,0,8.4,2.12823170584927,424.1,6.04996927648055,1,33,3.49650756146648,1588.05,7.3702621274575,1,52.25,3.95603989084492,2355.3,7.76442338687232,1,21.5,3.06805293513362,940,6.84587987526405,1,55.45,4.01548171379638,2696.8,7.89982116391985,1,1,1,3,1,0,1,1,1,1,12,1,1,1,1,1,1,1,1,0,0,0,0
6412-ALYEFT-RQ6,5,4,0,18,2,February,13,2,2,0,0,1,0,15,2.70805020110221,1,15.6,.44928,-.800108977584746,1.89072,.636957708908568,1,1,0,-1,-1,5,1,1,0,0,0,0,0,0,0,3,0,1,2,1,1,6.1,1,0,0,1,1,28,1,0,0,1,0,0,0,0,0,0,9,6,1,0,0,2,3,3,0,0,1,3,1,4,0,0,1,16,424.75,5,158.34,1,1,0,1,7.35,1.99470031322475, , ,0,0, ,0, ,0,0, ,0, ,0,0, ,0, ,0,0, ,0, ,0,0,0,0,1,0,0,0,0,1,11,0,1,0,0,0,0,0,0,0,0,0,0
9247-MPRRQJ-M3H,1,1,0,23,2,September,15,3,2,0,0,1,0,21,3.04452243772342,1,7.2,.749952,-.287746074499869,.762048,-.271745733153427,0,1,0,-1,-1,3,0,0,0,0,0,0,0,0,1,1,3,2,1,1,1,12,1,0,1,4,3,18,1,0,0,1,0,0,0,0,0,0,9,4,0,0,0,4,4,4,0,5,2,1,1,3,0,5,2,11,319.76,6,208.6,1,1,24,0,10.4,2.34180580614733,242.5,5.49100171037754,0,0, ,0, ,1,32.65,3.48584485572244,706.55,6.56039397102876,0,0, ,0, ,0,0, ,0, ,1,0,0,3,1,1,1,0,1,1,21,1,1,1,0,1,1,1,0,0,0,0,0
2975-LHBSWI-5KT,2,5,1,26,3,December,12,2,2,1,2,2,0,30,3.40119738166216,2,12.1,.36663,-1.00340211386412,3.26337,1.18276040376624,0,2,0,-1,-1,1,7,0,0,4,0,0,0,3,0,2,5,2,0,-1,-1,-1,-1,-1,0,5,3,25,1,0,0,0,1,1,0,0,0,1,9,3,0,0,1,2,4,2,0,8,3,4,4,2,1,8,3,13,526.64,5,117.35,1,1,30,0,7.85,2.06051353179432,234.6,5.45788193621938,0,0, ,0, ,1,27.75,3.32323584019244,808.25,6.69487141660554,0,0, ,0, ,0,0, ,0, ,1,0,0,1,0,0,0,0,0,1,22,1,1,1,0,1,1,0,0,1,0,0,1
2553-FRAOFI-SZX,5,3,0,25,3,March,14,2,3,0,2,2,0,27,3.29583686600433,2,10.3,1.215297,.194988491365281,1.565703,.448334924409381,1,2,0,-1,-1,1,5,0,0,0,0,0,0,5,0,1,5,2,2,1,0,10.9,1,0,1,4,3,25,1,0,0,1,1,1,0,1,0,1,9,1,1,1,1,1,4,2,0,4,2,2,4,3,0,3,2,14,1103.65,7,687.1,1,3,10,0,3.9,1.3609765531356,40.85,3.70990682130601,1,14.5,2.67414864942653,138.9,4.9337542497603,1,34.9,3.55248682920838,317.7,5.76110754127547,1,16.5,2.80336038090653,145,4.97673374242057,1,17,2.83321334405622,157.05,5.05656422598466,0,0,0,2,1,1,1,1,0,1,17,1,1,0,1,1,1,0,0,0,1,0,0
1074-ITVHJW-E23,5,5,1,26,3,January,12,2,4,0,5,2,0,23,3.13549421592915,1,3.4,.037536,-3.28245480651107,.744464,-.295090782627598,0,2,1,12,2,6,0,0,0,0,0,0,0,0,1,4,3,2,1,1,0,13.6,1,1,0,8,4,22,0,0,0,0,0,1,0,1,0,0,9,4,0,0,0,4,2,1,0,9,3,2,3,3,0,8,3,11,148.14,2,28.77,1,1,35,0,9.45,2.24601474150565,307.8,5.72945022140478,0,0, ,0, ,0,0, ,0, ,0,0, ,0, ,0,0, ,0, ,0,0,0,2,0,0,0,0,0,1,27,1,1,1,0,1,0,0,0,0,0,0,0
1233-HYIQUW-R97,5,5,1,73,6,June,7,1,1,0,9,3,0,25,3.2188758248682,2,10.7,.676775,-.390416409906647,1.998225,.69225928649865,0,5,0,-1,-1,1,4,0,2,0,0,0,2,0,0,2,32,5,2,0,0,14.4,1,1,0,1,1,29,1,0,0,1,0,0,0,0,0,0,1,6,1,0,1,3,2,4,0,16,5,4,1,2,1,12,4,13,406.93,2,65.87,1,2,37,0,6.1,1.80828877117927,219.4,5.39089654784113,0,0, ,0, ,0,0, ,0, ,1,18,2.89037175789616,635,6.45362499889269,0,0, ,0, ,1,0,0,0,0,0,0,0,0,1,26,1,1,1,0,0,0,0,0,1,0,0,1
1585-LMTCZT-US5,3,1,1,63,5,November,17,4,1,0,12,4,0,59,4.07753744390572,3,10.4,.871312,-.137755157315921,5.264688,1.66102188457078,0,3,0,-1,-1,1,0,0,0,0,0,0,0,0,1,2,29,5,2,1,0,28.9,2,1,1,1,1,21,1,0,0,1,0,0,1,1,0,0,9,6,0,0,1,2,1,4,0,12,4,3,4,1,0,14,4,5,119.21,0,0,0,2,31,0,8.75,2.16905370036952,281,5.63835466933375,0,0, ,0, ,0,0, ,0, ,0,0, ,0, ,0,0, ,0, ,1,0,0,2,0,0,0,0,1,1,15,1,1,1,0,1,1,0,0,1,0,0,0
9621-YAXANT-7FF,4,3,1,57,5,February,21,5,1,0,5,2,1,19,2.94443897916644,1,9.2,.354844,-1.03607702270701,1.393156,.331571677041422,0,4,0,-1,-1,1,0,0,0,0,0,0,0,0,0,2,18,4,0,-1,-1,-1,-1,-1,1,3,2,22,0,0,1,1,0,0,0,1,0,0,9,3,0,1,1,4,1,1,0,15,4,3,2,4,0,7,3,11,435.65,3,83.89,0,2,40,0,14.4,2.66722820658195,581.85,6.36621268255409,1,14.75,2.69124308278583,590.15,6.38037674187508,1,58.8,4.07414185490458,2283.7,7.73355221363755,1,32.5,3.48124008933569,1315,7.18159194461187,1,56.25,4.02980604108453,2152.2,7.67424585376629,1,1,1,4,1,1,1,0,1,1,16,1,1,1,1,1,1,1,1,0,0,0,0
5390-QYNMKM-GIT,4,4,1,24,2,May,15,3,3,0,1,1,0,19,2.94443897916644,1,4,.32528,-1.1230689291021,.43472,-.833053133304099,1,1,1,17,4,5,6,0,1,1,0,0,0,4,0,1,4,2,2,1,0,10.3,1,1,0,5,3,31,0,0,0,0,1,0,0,0,0,0,2,2,1,0,1,2,3,3,0,1,1,4,1,4,0,1,1,5,77.32,0,0,1,3,3,1,2.9,1.06471073699243,6.5,1.87180217690159,0,0, ,0, ,1,24.85,3.21285775254264,47.85,3.86807111789896,0,0, ,0, ,0,0, ,0, ,0,1,0,3,0,0,0,1,1,1,16,0,0,0,1,1,1,1,0,0,0,0,0
2580-QKFVLS-05A,5,3,1,76,6,January,11,1,2,0,23,5,0,40,3.68887945411394,2,6.9,1.66704,.511049598681737,1.09296,.0888896120014021,0,5,0,-1,-1,1,0,0,0,0,0,0,0,0,1,1,33,5,2,1,1,10.5,1,0,1,1,1,29,1,0,1,0,0,0,0,0,0,0,9,4,0,0,0,3,4,4,0,38,5,2,4,3,0,26,5,11,422.03,8,271.73,0,2,70,1,29.45,3.3826939100976,2180,7.68708015578313,0,0, ,0, ,1,44.55,3.79661215391682,3139.25,8.05173919686907,1,11.5,2.4423470353692,735,6.59987049921284,1,40.25,3.69511000386457,2804.7,7.93905186036538,1,1,1,3,0,0,1,0,1,1,18,1,1,1,0,1,1,0,0,1,0,0,0
0615-TRETYC-4JU,3,2,1,65,6,January,20,5,6,0,11,4,0,172,5.14749447681345,5,10.3,12.029164,2.48733403463751,5.686836,1.73815403020883,0,4,0,-1,-1,1,4,2,2,0,0,0,0,0,1,1,46,5,1,1,0,58.4,3,1,0,2,1,27,0,1,0,0,0,0,0,0,0,1,9,4,0,0,0,1,4,3,0,28,5,4,4,4,1,21,5,11,593.02,6,249.82,0,3,59,1,12.8,2.54944517092557,760.45,6.63391036331838,0,0, ,0, ,1,27.1,3.29953372788566,1582.25,7.36660316365542,1,14.25,2.65675690671466,820,6.7093043402583,0,0, ,0, ,1,0,0,3,0,0,0,0,0,1,19,1,1,1,0,1,0,1,0,0,0,0,1
1967-XURQTC-517,5,1,1,54,5,November,8,1,5,0,25,5,0,85,4.44265125649032,4,7.4,.5032,-.686767573595906,5.7868,1.7555794617733,0,5,1,8,1,2,6,0,0,0,0,2,0,4,1,1,20,4,4,1,1,54.9,3,1,1,1,1,18,1,0,1,0,1,0,0,0,0,0,9,6,0,0,0,2,2,1,0,26,5,3,4,4,0,18,5,17,510.14,9,404.53,0,3,40,0,10.2,2.32238772029023,417.6,6.03452403656843,1,18.5,2.91777073208428,764.9,6.63974510632782,0,0, ,0, ,1,7.75,2.04769284336526,280,5.63478960316925,0,0, ,0, ,1,1,0,0,1,1,1,1,0,1,15,1,1,1,0,0,1,0,0,0,0,0,0
9550-BYTUWR-QG4,5,4,0,19,2,June,14,2,2,0,0,1,0,25,3.2188758248682,2,9.9,.923175,-.0799364633176678,1.551825,.439431657671437,0,1,1,14,2,4,2,2,0,0,0,0,0,0,0,3,0,1,3,1,1,12.1,1,0,1,1,1,29,1,0,0,1,0,1,0,0,0,0,9,3,0,0,0,4,4,2,0,1,1,1,4,3,0,1,1,11,289.85,3,138.59,1,3,13,0,4.05,1.39871688111845,57.85,4.05785345363969,1,18,2.89037175789616,220.5,5.3958976948869,0,0, ,0, ,1,29.25,3.37587957367787,355,5.87211778947542,0,0, ,0, ,0,0,0,0,1,1,1,1,0,1,19,1,1,1,0,1,1,1,0,0,1,0,0
1495-PIDPIA-2Y8,5,5,1,26,3,March,14,2,6,0,2,2,0,24,3.17805383034795,1,13.7,.417576,-.873288715329612,2.870424,1.0544597540514,1,2,0,-1,-1,3,0,0,0,0,0,0,0,0,1,3,4,2,1,1,1,13,1,0,1,4,3,33,0,1,1,1,1,0,0,1,0,0,9,4,1,0,1,1,3,2,0,1,1,2,2,3,0,1,1,16,1152.2,3,202.45,0,3,2,1,3.2,1.16315080980568,8.25,2.11021320034659,0,0, ,0, ,1,26.3,3.26956893918372,39.1,3.66612246699132,0,0, ,0, ,0,0, ,0, ,0,0,0,2,0,0,0,0,1,1,24,1,0,1,0,1,1,1,0,0,0,0,0
2038-OVSVLN-8NO,2,2,1,22,2,April,17,4,1,0,0,1,0,20,2.99573227355399,1,8.4,.7056,-.348706774289555,.9744,-.0259333820265043,1,1,0,-1,-1,1,5,0,0,0,0,0,0,5,0,2,1,1,0,-1,-1,-1,-1,-1,0,4,3,21,0,0,0,1,0,1,0,0,0,0,2,5,1,0,0,3,3,4,0,4,2,1,3,2,1,4,2,9,255.78,7,159.03,1,1,15,0,5.3,1.66770682055808,71.6,4.2710950739666,1,20,2.99573227355399,305,5.72031177660741,0,0, ,0, ,1,16.5,2.80336038090653,230,5.4380793089232,1,24.6,3.20274644293832,333.35,5.80919298906407,0,1,0,1,1,0,1,0,0,1,20,1,1,1,0,1,1,1,0,0,0,1,0
2329-BWHBBG-KOB,3,2,1,45,4,June,16,3,2,0,3,2,0,51,3.93182563272433,3,10.9,3.518847,1.25813337913337,2.040153,.713024805043766,0,3,1,12,2,3,0,0,0,0,0,0,0,0,0,2,16,4,2,1,1,23.5,2,0,0,5,3,20,1,0,0,0,1,0,0,1,0,0,9,1,1,1,0,1,3,1,0,20,5,3,1,3,0,11,4,8,617.63,4,250.03,1,3,25,1,5.15,1.63899671467564,157.35,5.05847262351042,0,0, ,0, ,1,40.3,3.69635146895264,959.2,6.8660996037133,0,0, ,0, ,1,20.55,3.02286094094224,578.85,6.36104337665174,1,0,0,2,0,0,0,0,1,1,16,1,1,1,1,1,1,1,0,1,0,1,0
1613-GNANGZ-9A1,5,5,1,66,6,August,13,2,2,0,3,2,0,36,3.58351893845611,2,8.9,1.038096,.037388266016305,2.165904,.77283782626694,0,2,0,-1,-1,1,1,0,1,0,0,0,0,0,0,1,40,5,2,0,0,17.2,1,0,1,1,1,29,1,1,0,0,0,0,1,1,0,0,1,4,1,0,1,4,3,1,0,11,4,3,4,3,0,9,3,5,68.39,2,38.57,0,2,32,0,3.9,1.3609765531356,147.65,4.99484460818993,0,0, ,0, ,0,0, ,0, ,1,34,3.52636052461616,1015,6.92264389147589,0,0, ,0, ,0,0,0,1,0,0,0,0,0,1,24,1,1,1,0,1,1,1,0,0,0,0,0
9169-WRICRN-Y45,3,3,1,74,6,August,14,2,2,0,7,3,0,20,2.99573227355399,1,11.3,.77744,-.251748808324544,1.48256,.393770323246147,0,1,0,-1,-1,1,8,0,0,0,0,0,0,8,1,1,36,5,4,0,1,8.4,1,0,0,1,1,27,1,0,0,0,0,0,0,0,0,0,1,6,0,1,0,3,4,4,1,23,5,4,2,3,0,20,5,10,166.58,2,28.63,0,3,54,1,8.8,2.17475172148416,531.35,6.2754209378187,0,0, ,0, ,0,0, ,0, ,1,18.25,2.9041650800285,995,6.90274273715859,0,0, ,0, ,1,0,0,3,0,0,0,0,0,1,20,1,1,1,0,1,0,0,0,1,0,0,0
8547-RLCZHH-HZ6,3,2,0,49,4,June,9,1,2,0,4,2,0,45,3.80666248977032,2,2.8,.36288,-1.0136830778828,.89712,-.108565646606775,0,4,1,7,1,3,0,0,0,0,0,0,0,0,1,1,28,5,3,1,1,28.8,2,1,0,1,1,12,1,0,1,1,0,0,1,0,0,0,9,6,1,0,0,3,2,4,0,31,5,2,1,3,0,25,5,7,183.51,1,15.2,0,3,69,0,27.25,3.30505352110925,1854.4,7.52531647258549,1,33.75,3.51898041731854,2247,7.71735127218533,0,0, ,0, ,1,21.5,3.06805293513362,1465,7.28961052145117,0,0, ,0, ,0,0,0,0,1,0,1,1,0,1,17,1,1,1,0,0,0,0,0,1,1,0,0
0394-MDULKL-PC7,4,1,0,37,4,June,17,4,2,0,1,1,0,60,4.0943445622221,3,20.4,4.1004,1.41108452992711,8.1396,2.0967410387579,1,1,1,20,5,3,5,0,0,0,0,0,0,5,0,2,9,3,3,1,1,33.2,2,0,0,1,1,25,1,1,1,0,0,0,0,0,0,0,9,6,1,0,1,4,3,2,0,16,5,2,2,2,0,17,5,12,228.17,0,0,0,1,56,0,12.25,2.50552593699074,635.4,6.45425472183542,1,33.5,3.51154543883102,1895.9,7.54744893880799,0,0, ,0, ,1,15.5,2.7408400239252,875,6.77422388635761,0,0, ,0, ,0,0,0,0,1,1,1,1,0,1,26,1,1,1,0,0,0,0,0,0,0,0,0
